Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
9.8,dl,ccg,,,,,,55.1,,55.1,19,4.047,0.035,-2.412,0.331,mtx
7.5,cover,cover,,,,,,56.9,,56.9,19,3.884,0.051,-0.375,0.141,mtx
1.4,si,di,,,,,,58.5,,58.5,19,3.933,0.085,-0.399,0.32,mtx
8.4,cover,cover,,,,,,59.7,,59.7,19,2.833,0.03,-4.281,0.228,mtx
5.6,si,di,,,,,,61.3,,61.3,20,3.821,0.063,-0.974,0.189,mtx
7,cover,cover,,,,,,66,ADD 2.0,68,22,2.94,0.059,-0.689,0.172,mtx
1.3,si,di,,,,,,67.4,,69.4,22,2.961,0.034,-0.551,0.158,mtx
1,dl,ccg,bd,,,,,68.9,,70.9,22,3.212702306,0.064802369,-0.494121126,0.163631819,mtx
1.4,si,di,,,,,,70.9,,72.9,22,2.325,0.05,-3.474,0.205,mtx
0.8,dl,ccg,bd,,,,,71.9,,73.9,22,1.749,0.124,-2.493,0.232,mtx
0.5,si,di,,,,,,75,,77,24,1.983,0.101,-0.08,0.37,mtx
0.1,dl,R,bd,,,,,76.6,,78.6,24,2.46,0.056,-1.501,0.288,mtx
0.9,si,di,,,,,,77.6,,79.6,25,2.986,0.047,-0.015,0.177,mtx
29.4,dl,ccg,,,,,,,,,,,,,,
35,cover,cover,,,,,,,,,,,,,,
9.8,si,fss,,,,,,,,,,,,,,
2.7,dl,ccg,bd,,,,,,,,,,,,,
23.8,si,fss,reversed?,,,,,,,,,,,,,
1.2,si,pcg,,,,,,,,,,,,,,
0.3,si,sts,,,,,,,,,,,,,,
0.8,si,pcg,,,,,,,,,,,,,,
8.4,si,di,,,,,,,,,,,,,,
1.1,dl,icb,olt+onc,,,,,,,,,,,,,
22.4,si,di,,,,,,,,,,,,,,
5,dl,R,bd,,,,,,,,,,,,,
4.2,si,pcg,,,,,,,,,,,,,,
9.8,si,di,,,,,,,,,,,,,,
0.5,si,css,,,,,,,,,,,,,,
10.8,si,dicss,,,,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,,,,
0.3,si,pcg,,,,,,,,,,,,,,
5.6,si,dicss,,,,,,,,,,,,,,
4.2,si,mss,,,,,,,,,,,,,,
2.8,si,ccg,,,,,,,,,,,,,,
0.5,si,mss,,,,,,,,,,,,,,
1,si,ccg,,,,,,,,,,,,,,
2.8,si,mss,,,,,,,,,,,,,,
4.2,si,ccg,,,,,,,,,,,,,,
0.2,si,mss,,,,,,,,,,,,,,
0.2,si,ccg,,,,,,,,,,,,,,
0.4,si,mss,,,,,,,,,,,,,,
0.8,si,ccg,,,,,,,,,,,,,,
0.6,si,mss,,,,,,,,,,,,,,
0.8,si,ccg,,,,,,,,,,,,,,
1.4,si,mss,,,,,,,,,,,,,,
12.6,si,ccg,,,,,,,,,,,,,,
4.2,si,mss,,,,,,,,,,,,,,
1.1,si,ccg,,,,,,,,,,,,,,
0.2,si,css,,,,,,,,,,,,,,
0.9,si,ccg,,,,,,,,,,,,,,
0.6,si,mss,,,,,,,,,,,,,,
3,si,ccg,,,,,,,,,,,,,,
2.2,si,sts,,,,,,,,,,,,,,
5,si,ccg,,,,,,,,,,,,,,
6.7,si,di,,,,,,,,,,,,,,
1,si,sts,,,,,,,,,,,,,,
