section,sample,formation,section_m,strat_m,d13C,d18O
F834,F834-17.0,PF1a,17,411,4.96,-4.66
F834,F834-18.0,PF1a,18,412,4.07,-5.06
F834,F834-19.0,PF1a,19,413,6.95,-4.7
F834,F834-20.0,PF1a,20,414,6.33,-4.35
F834,F834-21.0,PF1a,21,415,5.67,-3.82
F834,F834-22.0,PF1a,22,416,6.87,-2.41
F834,F834-23.0,PF1a,23,417,7.72,-3.65
F834,F834-24.0,PF1a,24,418,7.3,-2.89
F834,F834-25.0,PF1a,25,419,9.23,-4
F834,F834-26.0,PF1a,26,420,8.07,-5.42
F834,F834-27.0,PF1a,27,421,8.49,-5.25
F834,F834-28.0,PF1a,28,422,6.89,-5.57
F834,F834-29.0,PF1a,29,423,7.49,-5.67
F834,F834-30.0,PF1a,30,424,7.78,-5.85
F834,F834-31.0,PF1a,31,425,7.65,-6.5
F834,F834-32.5,PF1a,32.5,426.5,7.39,-5.53
F834,F834-33.0,PF1a,33,427,8.12,-3.81
F834,F834-34.0,PF1a,34,428,9.02,-4.15
F834,F834-35.0,PF1a,35,429,8.68,-3.29
F834,F834-36.0,PF1a,36,430,7.5,-6.1
F834,F834-37.0,PF1a,37,431,7.74,-5.45
F834,F834-44.0,PF1a,44,438,8.3,-6.81
F834,F834-45.0,PF1a,45,439,9.19,-5.99
F834,F834-46.0,PF1a,46,440,8.75,-5.88
F834,F834-49.0,PF1a,49,443,6.64,-6.93
F834,F834-50.0,PF1a,50,444,7.84,-7.26
F834,F834-51.0,PF1a,51,445,6.62,-7.27
F834,F834-52.0,PF1a,52,446,6.58,-7.32
F834,F834-53.0,PF1a,53,447,7.05,-6.89
F834,F834-54.0,PF1a,54,448,6.84,-6.62
F834,F834-55.0,PF1a,55,449,6.33,-6.95
F834,F834-56.0,PF1a,56,450,6.72,-7.05
F834,F834-57.0,PF1a,57,451,6.9,-7.1
F834,F834-58.0,PF1a,58,452,6.72,-6.55
F834,F834-59.0,PF1a,59,453,6.73,-6.37
F834,F834-60.0,PF1a,60,454,6.05,-8.08
F834,F834-61.0,PF1a,61,455,7.23,-7.03
F834,F834-62.0,PF1a,62,456,6.32,-7.48
F834,F834-65.0,PF1a,65,459,6.86,-6.87
F834,F834-66.0,PF1a,66,460,6.62,-7.34
F834,F834-67.0,PF1a,67,461,6.55,-7.48
F834,F834-68.0,PF1a,68,462,6.56,-7.54
F834,F834-69.0,PF1a,69,463,6.81,-7.24
F834,F834-70.0,PF1a,70,464,6.56,-6.72
F834,F834-73.0,PF1a,73,467,6.89,-6.53
F834,F834-74.0,PF1a,74,468,5.6,-5.55
F834,F834-75.0,PF1a,75,469,6.77,-4.44
F834,F834-76.0,PF1a,76,470,7.34,-6.21
F834,F834-77.0,PF1a,77,471,6.72,-5.84
F834,F834-78.0,PF1a,78,472,7.56,-4.21
F834,F834-79.0,PF1a,79,473,7.45,-2.86
F834,F834-80.0,PF1a,80,474,7.19,-6.77
F834,F834-81.0,PF1a,81,475,7.66,-3.57
F834,F834-82.0,PF1a,82,476,7.31,-10.78
F834,F834-83.0,PF1a,83,477,6.46,-6.43
F834,F834-84.0,PF1a,84,478,6.98,-6.52
F834,F834-86.0,PF1a,86,480,9.07,-7.49
F834,F834-87.0,PF1a,87,481,8.93,-6.26
F834,F834-88.0,PF1a,88,482,9.15,-4.85
F834,F834-89.0,PF1a,89,483,9.49,-6.29
F834,F834-90.0,PF1a,90,484,9.01,-6.89
F834,F834-91.0,PF1a,91,485,9.51,-6.34
F834,F834-93.0,PF1a,93,487,7.02,-7.73
F834,F834-94.0,PF1a,94,488,6.63,-5.61
F834,F834-95.0,PF1a,95,489,5.86,-6.64
F834,F834-96.0,PF1a,96,490,6.83,-6.94
F834,F834-97.0,PF1a,97,491,6.57,-6.71
F834,F834-98.0,PF1a,98,492,6.49,-6.52
F834,F834-99.0,PF1a,99,493,9.08,-6.78
F834,F834-100.0,PF1a,100,494,9.39,-7.2
F834,F834-102.0,PF1a,102,496,10,-7.35
F834,F834-104.0,PF1a,104,498,8.77,-7.63
F834,F834-105.0,PF1a,105,499,6.61,-7.57
F834,F834-116.0,PF1a,116,510,5.2,-3.79
F834,F834-117.5,PF1a,117.5,511.5,4.97,-6.77
F834,F834-123.0,PF1a,123,517,6.7,-0.18
F834,F834-124.0,PF1a,124,518,7.27,-0.02
F834,F834-125.0,PF1a,125,519,7.07,-0.67
F834,F834-126.0,PF1a,126,520,6.39,-2.57
F834,F834-127.0,PF1a,127,521,7.3,0.23
F834,F834-128.0,PF1a,128,522,7.25,-0.24
F834,F834-129.0,PF1a,129,523,6.99,0.41
F834,F834-130.0,PF1a,130,524,6.98,0.36
F834,F834-131.0,PF1a,131,525,7.33,0.85
F834,F834-131.9,PF1a,131.9,525.9,5.28,-1.76
F834,F834-133.0,PF1a,133,527,6.15,-2.57
F834,F834-134.0,PF1a,134,528,5.75,-6.27
F834,F834-135.0,PF1a,135,529,6.3,-1.94
F834,F834-137.0,PF1a,137,531,6.81,-2.35
F834,F834-139.0,PF1a,139,533,7.32,-0.27
F834,F834-139.5,PF1a,139.5,533.5,6.59,-0.55
F834,F834-141.0,PF1a,141,535,6.84,-0.04
F834,F834-143.0,PF1a,143,537,7.34,-2.53
F834,F834-145.0,PF1a,145,539,6.83,-1.48
F834,F834-147.0,PF1a,147,541,6.46,0.5
F834,F834-171.0,PF1a,171,565,6.72,-5.1
F834,F834-173.0,PF1a,173,567,5.09,-4.66
F834,F834-178.0,PF1a,178,572,5.97,-5.05
F834,F834-180.0,PF1a,180,574,4.59,-4.49
F834,F834-182.0,PF1a,182,576,4.78,-2.07
F834,F834-184.0,PF1a,184,578,4.09,-5.57
F834,F834-186.0,PF1a,186,580,4.32,-5.91
F834,F834-188.0,PF1a,188,582,4.4,-5.47
F834,F834-190.0,PF1a,190,584,4.66,-5.46
F834,F834-192.0,PF1a,192,586,4.29,-4.61
F834,F834-198.0,PF1a,198,592,4.14,-5.94
F834,F834-202.0,PF1a,202,596,4.17,-5.64
F834,F834-206.0,PF1a,206,600,3.92,-6.16
F834,F834-210.0,PF1a,210,604,5.93,-1.61
F834,F834-213.0,PF1a,213,607,5.49,-3.9
F834,F834-214.0,PF1a,214,608,5.01,-6.08
F834,F834-216.0,PF1a,216,610,5.39,-2.13
F834,F834-217.0,PF1a,217,611,5.32,-2.08
F834,F834-218.0,PF1a,218,612,3.84,-1.12
F834,F834-219.0,PF1a,219,613,4.05,-10.14
F834,F834-224.0,PF1a,224,618,4.18,-10.02
F834,F834-225.0,PF1a,225,619,2.15,-10.01
F834,F834-226.0,PF1a,226,620,2.8,-10.41
F834,F834-227.0,PF1a,227,621,1.62,-8.97
F834,F834-228.0,PF1a,228,622,1.43,-9.95
F834,F834-229.0,PF1a,229,623,0.88,-9.03
F834,F834-230.0,PF1a,230,624,1.53,-10.79
F835,F835-65.0,PF1a,65,689,0.12,-3.9
F835,F835-66.5,PF1a,66.5,690.5,1.91,-1.14
F835,F835-68.2,PF1a,68.2,692.2,-1.91,-2.98
F835,F835-69.4,PF1a,69.4,693.4,-1.96,-4.23
F835,F835-73.0,PF1a,73,697,-0.19,-4.75
F835,F835-74.0,PF1a,74,698,1.11,-2.83
F835,F835-75.0,PF1a,75,699,1.62,-3.66
F835,F835-76.0,PF1a,76,700,1.21,-3.89
F835,F835-77.0,PF1a,77,701,1.42,-3.85
F835,F835-78.0,PF1a,78,702,1.19,-4.33
F835,F835-79.0,PF1a,79,703,1.7,-3.2
F835,F835-80.0,PF1a,80,704,1.98,-4.07
F835,F835-81.0,PF1a,81,705,1.4,-6.56
F835,F835-83.0,PF1a,83,707,1.42,-4.91
F835,F835-85.0,PF1a,85,709,1.37,-3.73
F835,F835-87.0,PF1a,87,711,2.36,-3.75
F835,F835-89.0,PF1a,89,713,1.22,-5.12
F835,F835-91.0,PF1a,91,715,1.19,-3.51
F835,F835-95.0,PF1a,95,719,1.17,-4.12
F835,F835-97.0,PF1a,97,721,1.71,-3.97
F835,F835-99.0,PF1a,99,723,1.7,-3.03
F835,F835-101.0,PF1a,101,725,1.15,-4.11
F835,F835-103.0,PF1a,103,727,1.09,-3.98
F835,F835-104.0,PF1a,104,728,0.4,-4.31
F835,F835-105.0,PF1a,105,729,-1.33,-5.18
F835,F835-106.0,PF1a,106,730,-2.02,-5.1
F835,F835-107.0,PF1a,107,731,-2.82,-5.45
F835,F835-111.0,PF1,111,735,-0.44,-2.35
F835,F835-112.0,PF1,112,736,-0.73,-2.99
F835,F835-113.0,PF1,113,737,-1,-2.8
F835,F835-115.0,PF1,115,739,-1.31,-2.47
F835,F835-117.0,PF1,117,741,-0.8,-2.61
F835,F835-119.0,PF1,119,743,0.42,-2.9
F835,F835-121.0,PF1,121,745,0.51,-3.1
F835,F835-125.0,PF1,125,749,-0.11,-3.05
F835,F835-129.0,PF1,129,753,-0.04,-3.53
F835,F835-131.0,PF1,131,755,-0.04,-2.81
F835,F835-133.0,PF1,133,757,-0.28,-3.55
F835,F835-144.0,PF1,144,768,0.63,-2.4
F835,F835-146.0,PF1,146,770,0.5,-2.62
F835,F835-150.0,PF1,150,774,-0.21,-3
F835,F835-154.0,PF1,154,778,0.86,-2.78
F835,F835-156.0,PF1,156,780,0.19,-3.46
F835,F835-158.0,PF1,158,782,0.49,-3.3
F835,F835-162.0,PF1,162,786,0.47,-2.84
F835,F835-164.0,PF1,164,788,0.51,-3.08
F835,F835-165.0,PF1,165,789,0.13,-4.7
F835,F835-170.0,PF1,170,794,0.4,-4.21
F835,F835-174.0,PF1,174,798,-0.1,-4.03
F835,F835-176.0,PF1,176,800,0.53,-3.33
F835,F835-178.0,PF1,178,802,0.1,-3.14
F835,F835-180.0,PF1,180,804,0.69,-3.04
F835,F835-182.0,PF1,182,806,0.45,-3.08
F835,F835-184.0,PF1,184,808,0.44,-4.85
F835,F835-186.0,PF1,186,810,0.7,-3.65
F835,F835-190.0,PF1,190,814,0.48,-3.97
F835,F835-194.0,PF1,194,818,0.64,-4.8
F835,F835-196.0,PF1,196,820,0.81,-4.18
F835,F835-200.0,PF1,200,824,-0.28,-3.28
F835,F835-202.0,PF1,202,826,0.46,-3.59
F835,F835-204.0,PF1,204,828,0.25,-5
F835,F835-206.0,PF1,206,830,-0.02,-4.83
F835,F835-210.0,PF1,210,834,0.14,-3.62
F835,F835-212.0,PF1,212,836,0.19,-5.13
F835,F835-214.0,PF1,214,838,0.33,-5.75
F835,F835-216.0,PF1,216,840,0.68,-4.32
F835,F835-218.0,PF1,218,842,0.37,-5.12
F835,F835-223.0,PF1,223,847,0.53,-4.55
F835,F835-230.0,PF1,230,854,0.61,-4.04
F835,F835-233.0,PF1,233,857,0.76,-3.83
F835,F835-239.0,PF1,239,863,0.05,-3.28
F835,F835-241.0,PF1,241,865,-0.48,-2.8
F835,F835-243.0,PF1,243,867,-0.42,-2.62
F835,F835-245.5,PF1,245.5,869.5,-0.08,-3.39
F835,F835-250.0,PF1,250,874,-0.27,-3.89
F835,F835-254.0,PF1,254,878,0.52,-5.59
F835,F835-256.0,PF1,256,880,0.19,-4.64
F835,F835-260.0,PF1,260,884,-0.28,-4.84
F835,F835-262.1,PF1,262.1,886.1,-0.31,-8.26
F835,F835-264.0,PF1,264,888,0.32,-3.62
F835,F835-266.0,PF1,266,890,0.8,-3.02
F835,F835-268.0,PF1,268,892,-0.12,-3.7
F835,F835-270.0,PF1,270,894,-0.09,-5.33
F835,F835-272.0,PF1,272,896,0.65,-3.82
F835,F835-276.0,PF1,276,900,0.15,-7.06
F835,F835-278.0,PF1,278,902,-0.21,-3.13
F835,F835-280.0,PF1,280,904,0.63,-3.94
F835,F835-284.0,PF1,284,908,0.02,-4.74
F835,F835-286.0,PF1,286,910,0.24,-5.6
F835,F835-288.0,PF1,288,912,0.11,-3.4
F835,F835-292.0,PF1,292,916,0.14,-3.18
F835,F835-294.0,PF1,294,918,0.49,-4.57
F835,F835-296.0,PF1,296,920,0.71,-3.37
F835,F835-298.0,PF1,298,922,0.39,-3.96
F835,F835-300.0,PF1,300,924,1.53,-4.45
F835,F835-302.0,PF1,302,926,0.27,-3.91
F835,F835-304.0,PF1,304,928,0.8,-4.28
F835,F835-306.0,PF1,306,930,0.7,-3.31
F835,F835-308.0,PF1,308,932,1.14,-4.06
F835,F835-312.0,PF1,312,936,0.15,-4.47
F836,F836-0.3,PF1,0.3,940.3,3.27,-2.75
F836,F836-2.0,PF1,2,942,1.81,-2.16
F836,F836-4.0,PF1,4,944,1.81,-2.33
F836,F836-6.0,PF1,6,946,1.38,-2.91
F836,F836-8.0,PF1,8,948,2.04,-2.67
F836,F836-10.0,PF1,10,950,1.97,-3.1
F836,F836-12.0,PF1,12,952,1.61,-3.71
F836,F836-14.0,PF1,14,954,1.8,-2.62
F836,F836-16.0,PF1,16,956,0.96,-5.94
F836,F836-18.0,PF1,18,958,1.67,-2.93
F836,F836-20.0,PF1,20,960,2.84,-3.1
F836,F836-22.0,PF1,22,962,1.82,-2.96
F836,F836-24.0,PF1,24,964,2.36,-2.83
F836,F836-26.0,PF1,26,966,2.64,-3.53
F836,F836-28.0,PF1,28,968,2.78,-3.12
F836,F836-30.0,PF1,30,970,1.75,-3.04
F836,F836-32.0,PF1,32,972,1.83,-2.33
F836,F836-34.0,PF1,34,974,2.35,-4.98
F836,F836-36.0,PF1,36,976,1.38,-1.72
F836,F836-38.0,PF1,38,978,3.29,-1.12
F836,F836-40.0,PF1,40,980,1.98,-2.49
F836,F836-42.0,PF1,42,982,2.74,-1.6
F836,F836-44.0,PF1,44,984,3.2,-1.94
F836,F836-46.0,PF1,46,986,1.6,-1.75
F836,F836-48.0,PF1,48,988,3.37,-2.49
F836,F836-50.0,PF1,50,990,2.92,-2.32
F836,F836-52.0,PF1,52,992,2.24,-2.22
F836,F836-54.0,PF1,54,994,2.95,-1.38
F836,F836-56.0,PF1,56,996,2.18,-3.1
F836,F836-58.0,PF1,58,998,2.33,-2.25
F836,F836-60.0,PF1,60,1000,1.54,-1.2
F836,F836-62.0,PF1,62,1002,4.58,-0.62
F836,F836-64.0,PF1,64,1004,3.61,-1.67
F836,F836-68.0,PF1,68,1008,3.21,-1.58
F836,F836-72.0,PF1,72,1012,2.6,-2.17
F836,F836-76.0,PF1,76,1016,2.07,-1.8
F836,F836-78.0,PF1,78,1018,2.37,-3.49
F836,F836-80.0,PF1,80,1020,4.11,-3.67
F836,F836-82.0,PF1,82,1022,3.28,-2.08
F836,F836-84.0,PF1,84,1024,2.5,-2.13
F836,F836-86.0,PF1,86,1026,2.79,-2.07
F836,F836-88.0,PF1,88,1028,2.48,-4.19
F836,F836-90.0,PF1,90,1030,2.9,-3.68
F836,F836-92.0,PF1,92,1032,2.72,-2.31
F836,F836-94.0,PF1,94,1034,3.41,-2.59
F836,F836-96.0,PF1,96,1036,2.29,-3.62
